FileName,DesArea,DesD6Area,CholArea,CholD7Area,24SHCArea,24R_S_HCD7Area,On_OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_01,220033.1923,109426.9956,20534083.48,9042324.7,114826.8476,601092.8398,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_02X,0.0,35389.12759,131717272.4,42088621.48,459706.2847,2709585.137,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_03,0.0,0.0,665099.5306,250227.951,0.0,0.0,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_04,50214.28345,36653.24291,26182598.95,6129945.994,40081.15937,110361.9472,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_05,150516.4785,300015.1752,112706623.9,27303152.58,83841.18994,234356.3746,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_06,187060.7804,400377.4548,141308530.3,31206500.83,111066.7257,333495.6788,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_07,2545780.025,3931137.192,903527451.0,196795364.2,1404630.806,5421873.951,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_08,9418753.842,11499574.73,2357625875.0,380310373.1,6593919.867,17849670.17,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_09,616880.8338,1035176.222,287425745.0,87613101.04,293747.6065,1771595.337,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_10,226662.4725,366344.5007,122881208.5,37495288.2,167743.9296,1557040.955,OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_11,9063.06208,0.0,14291752.89,4127671.525,7298.862568,43678.15346,OffTissue
